Dataset Row,Quarter,Total CO2 Emission (kgCO2e),Total Cost (�),Total Subsidy for Nuclear (�),Total Subsidy for Solar (�),Total Subsidy for Wind (�),Total Subsidy for Gas (�),Total Subsidy for Hydro (�),Total Subsidy for Coal (�)
1,32,284221624.15,631270740.0,0.0,709305712450.0,64694423605.5,0.0,6820075500.0,0.0
1,33,285098244.5,623240940.0,0.0,711568391948.0001,65513340359.99999,0.0,6715938424.999994,0.0
1,34,285872202.15,623240940.0,0.0,713831071446.0,66332257114.5,0.0,6551914774.999994,0.0
1,35,286559627.8,623240940.0,0.0,716093750944.0,67151173869.00001,0.0,6337414124.999993,0.0
1,36,287247053.45000005,623240940.0,0.0,718356430442.0001,67970090623.49997,0.0,6122913474.999993,0.0
1,37,287592814.79999995,615205740.0,0.0,718702657937.25,68789007377.99997,0.0,6107717000.0,0.0
1,38,287912525.05,615205740.0,0.0,718902760470.75,69607924132.49998,0.0,6107717000.0,0.0
1,39,288318767.3,615205740.0,0.0,719102863004.25,70426840887.00002,0.0,6158194000.0,0.0
1,40,288725009.5500001,615205740.0,0.0,719302965537.75,71245757641.49995,0.0,6208671000.0,0.0
1,41,289217783.8,615205740.0,0.0,719503068071.2501,72064674395.99995,0.0,6309625000.0,0.0
1,42,289710558.05,615205740.0,0.0,719703170604.7501,72883591150.49997,0.0,6410579000.0,0.0
1,43,290203332.3,615205740.0,0.0,719903273138.25,73702507904.99997,0.0,6511533000.0,0.0
1,44,290696106.55,615205740.0,0.0,720103375671.75,74521424659.49994,0.0,6612487000.0,0.0
1,45,291188880.8000001,615205740.0,0.0,720303478205.25,75340341413.99994,0.0,6713440999.999999,0.0
1,46,291681655.05,615205740.0,0.0,720503580738.7501,76159258168.49994,0.0,6814395000.0,0.0
1,47,292174429.3,615205740.0,0.0,720703683272.2501,76978174922.99992,0.0,6915348999.999999,0.0
1,48,292667203.55,615205740.0,0.0,720903785805.7501,77797091677.49994,0.0,7016303000.0,0.0
1,49,293098422.0,610967790.0,0.0,721103888339.2501,78616008431.99994,0.0,7081349449.999993,0.0
1,50,293477071.45000005,610967790.0,0.0,721303990872.7501,79434925186.49992,0.0,7115730649.999994,0.0
1,51,293855720.90000004,610967790.0,0.0,721504093406.2501,80253841940.99994,0.0,7150111849.999994,0.0
1,52,294234370.35,610967790.0,0.0,721704195939.7502,81072758695.4999,0.0,7184493049.999993,0.0
1,53,294613019.8,610967790.0,0.0,721904298473.2502,81891675449.99991,0.0,7218874249.999992,0.0
1,54,294991669.25,610967790.0,0.0,722104401006.75,82710592204.49992,0.0,7253255449.999992,0.0
1,55,295370318.7000001,610967790.0,0.0,722304503540.2502,83529508958.99992,0.0,7287636649.999992,0.0
1,56,295748968.15000015,610967790.0,0.0,722504606073.7502,84348425713.49991,0.0,7322017849.999993,0.0
1,57,296127617.6,610967790.0,0.0,722704708607.2504,85167342467.9999,0.0,7356399049.999991,0.0
1,58,296506267.05,610967790.0,0.0,722904811140.7504,85986259222.49988,0.0,7390780249.999991,0.0
1,59,296884916.5,610967790.0,0.0,723104913674.25,86805175976.99992,0.0,7425161449.9999895,0.0
1,60,297263565.9500001,610967790.0,0.0,723305016207.7504,87624092731.49988,0.0,7459542649.9999895,0.0
1,61,297642215.4000001,610967790.0,0.0,723505118741.2504,88443009485.9999,0.0,7493923849.99999,0.0
1,62,297933396.2500001,606726990.0,0.0,723214595319.2502,89261926240.4999,0.0,7579328400.0,0.0
1,63,297971309.9000001,606726990.0,0.0,722187964689.0002,90080842994.99985,0.0,7670098799.999999,0.0
1,64,298009223.5500001,606726990.0,0.0,721161334058.7502,90899759749.49986,0.0,7760869199.999999,0.0
1,65,297803068.6000001,606726990.0,0.0,719450192700.7504,91718676503.99988,0.0,7851639599.999999,0.0
1,66,297596913.6500001,606726990.0,0.0,717739051342.7502,92537593258.49985,0.0,7942410000.0,0.0
1,67,297390758.7000001,606726990.0,0.0,716027909984.7504,93356510012.99988,0.0,8033180399.999998,0.0
1,68,297184523.05,599143290.0,0.0,714316768626.7501,94175426767.49985,0.0,8123903725.000004,0.0
1,69,296931882.5000001,599143290.0,0.0,712605627268.7502,94994343521.99986,0.0,8187557525.000005,0.0
1,70,296679241.9500001,599143290.0,0.0,710894485910.7502,95813260276.49985,0.0,8251211325.000004,0.0
1,71,296426601.4000001,599143290.0,0.0,709183344552.7502,96632177030.99985,0.0,8314865125.000003,0.0
1,72,296173960.85000014,599143290.0,0.0,707472203194.7504,97451093785.49986,0.0,8378518925.000004,0.0
1,73,295921320.3000001,599143290.0,0.0,705761061836.7504,98270010539.99983,0.0,8442172725.000005,0.0
1,74,295668679.7500001,599143290.0,0.0,704049920478.7502,99088927294.4998,0.0,8505826525.000005,0.0
1,75,295416039.2000001,599143290.0,0.0,702338779120.7502,99907844048.99983,0.0,8569480325.000004,0.0
1,76,295163398.6500001,599143290.0,0.0,700627637762.7504,100726760803.4998,0.0,8633134125.000006,0.0
1,77,294910758.10000014,599143290.0,0.0,698916496404.7504,101545677557.99986,0.0,8696787925.000006,0.0
1,78,294658117.55000013,599143290.0,0.0,697205355046.7504,102364594312.49982,0.0,8760441725.000006,0.0
1,79,294405477.0000001,599143290.0,0.0,695494213688.7504,103183511066.99977,0.0,8824095525.000004,0.0
1,80,294152836.4500001,599143290.0,0.0,693783072330.7504,104002427821.49982,0.0,8887749325.000006,0.0
1,81,293900195.9000001,599143290.0,0.0,692071930972.7504,104821344575.99979,0.0,8951403125.000006,0.0
1,82,293647555.35000014,599143290.0,0.0,690360789614.7505,105640261330.49976,0.0,9015056925.000006,0.0
1,83,293394914.8000002,599143290.0,0.0,688649648256.7504,106459178084.9998,0.0,9078710725.000006,0.0
1,84,293142274.2500002,599143290.0,0.0,686938506898.7504,107278094839.49976,0.0,9142364525.000006,0.0
1,85,292889633.7000001,599143290.0,0.0,685227365540.7505,108097011593.99982,0.0,9206018325.000008,0.0
1,86,292636993.1500001,599143290.0,0.0,683516224182.7504,108915928348.49977,0.0,9269672125.000006,0.0
1,87,292384352.60000014,599143290.0,0.0,681805082824.7506,109734845102.99974,0.0,9333325925.000006,0.0
1,88,292131712.0500002,599143290.0,0.0,680093941466.7504,110553761857.49979,0.0,9396979725.000008,0.0
1,89,291879071.5000002,599143290.0,0.0,678382800108.7505,111372678611.99976,0.0,9460633525.000008,0.0
1,90,291626430.9500002,599143290.0,0.0,676671658750.7505,112191595366.49973,0.0,9524287325.000008,0.0
1,91,291373790.4000001,599143290.0,0.0,674960517392.7505,113010512120.99976,0.0,9587941125.000006,0.0
1,92,291121149.85000014,599143290.0,0.0,673249376034.7506,113829428875.49971,0.0,9651594925.000008,0.0
1,93,290868509.3000002,599143290.0,0.0,671538234676.7506,114648345629.99977,0.0,9715248725.000008,0.0
1,94,290615868.75000024,599143290.0,0.0,669827093318.7506,115467262384.49974,0.0,9778902525.000008,0.0
1,95,290363228.2000002,599143290.0,0.0,668115951960.7506,116286179138.99966,0.0,9842556325.000008,0.0
1,96,290110587.6500001,599143290.0,0.0,666404810602.7505,117105095893.49973,0.0,9906210125.000006,0.0
1,97,289857947.10000014,599143290.0,0.0,664693669244.7506,117924012647.99971,0.0,9969863925.00001,0.0
1,98,289605306.5500002,599143290.0,0.0,662982527886.7506,118742929402.49966,0.0,10033517725.000008,0.0
1,99,289341181.4000003,595239915.0,0.0,661271386528.7506,119561846156.99971,0.0,10090472175.000011,0.0
1,100,289051316.8500002,595239915.0,0.0,659560245170.7507,120380762911.49965,0.0,10132411975.00001,0.0
1,101,288761452.30000013,595239915.0,0.0,657849103812.7506,121199679665.99971,0.0,10174351775.000015,0.0
1,102,288471587.7500002,595239915.0,0.0,656137962454.7506,122018596420.4997,0.0,10216291575.000011,0.0
1,103,288181723.20000017,595239915.0,0.0,654426821096.7507,122837513174.99965,0.0,10258231375.000013,0.0
1,104,287891858.65000015,595239915.0,0.0,652715679738.7506,123656429929.49968,0.0,10300171175.000011,0.0
1,105,287601994.1000002,595239915.0,0.0,651004538380.7507,124475346683.99963,0.0,10342110975.000015,0.0
1,106,287312129.55000013,595239915.0,0.0,649293397022.7506,125294263438.4996,0.0,10384050775.000011,0.0
1,107,287022265.0000001,595239915.0,0.0,647582255664.7507,126113180192.99968,0.0,10425990575.000013,0.0
1,108,286732400.45000017,595239915.0,0.0,645871114306.7509,126932096947.49962,0.0,10467930375.000011,0.0
1,109,286442535.90000015,595239915.0,0.0,644159972948.7507,127751013701.99966,0.0,10509870175.000011,0.0
1,110,286152671.3500002,595239915.0,0.0,642448831590.7509,128569930456.49962,0.0,10551809975.000011,0.0
1,111,285862806.80000013,595239915.0,0.0,640737690232.7509,129388847210.99959,0.0,10593749775.000011,0.0
1,112,285572942.2500001,595239915.0,0.0,639026548874.7507,130207763965.49965,0.0,10635689575.00001,0.0
1,113,285283077.7000002,595239915.0,0.0,637315407516.7509,131026680719.99959,0.0,10677629375.000013,0.0
1,114,284993213.15000015,595239915.0,0.0,635604266158.7509,131845597474.49959,0.0,10719569175.00001,0.0
1,115,284703348.60000026,595239915.0,0.0,633893124800.7509,132664514228.99962,0.0,10761508975.000011,0.0
1,116,284413484.05000013,595239915.0,0.0,632181983442.751,133483430983.49956,0.0,10803448775.00001,0.0
1,117,284123619.5000002,595239915.0,0.0,630470842084.7509,134302347737.99962,0.0,10845388575.00001,0.0
1,118,283833754.95000017,595239915.0,0.0,628759700726.751,135121264492.49957,0.0,10887328375.000008,0.0
1,119,283543890.40000015,595239915.0,0.0,627048559368.751,135940181246.99951,0.0,10929268175.00001,0.0
1,120,283254025.8500002,595239915.0,0.0,625337418010.7509,136759098001.49959,0.0,10971207975.000008,0.0
1,121,282964161.3000002,595239915.0,0.0,623626276652.7509,137578014755.99954,0.0,11013147775.000008,0.0
1,122,282674296.7500002,595239915.0,0.0,621915135294.7509,138396931510.4995,0.0,11055087575.000006,0.0
1,123,282384432.20000017,595239915.0,0.0,620203993936.751,139215848264.99957,0.0,11097027375.000006,0.0
1,124,282094567.65000015,595239915.0,0.0,618492852578.751,140034765019.49954,0.0,11138967175.000004,0.0
1,125,281804703.10000026,595239915.0,0.0,616781711220.751,140853681773.99957,0.0,11180906975.000006,0.0
1,126,281514838.5500002,595239915.0,0.0,615070569862.751,141672598528.49954,0.0,11222846775.000004,0.0
1,127,281169850.80000013,586808625.0,0.0,613359428504.7511,142491515282.99948,0.0,11232631375.0,0.0
1,128,280774233.5500002,582570675.0,0.0,611648287146.751,143310432037.49957,0.0,11212882100.000015,0.0
1,129,280329815.0000003,582570675.0,0.0,609937145788.751,144129348791.9995,0.0,11164665400.000015,0.0
1,130,279843015.75000036,578444250.0,0.0,608226004430.7511,144948265546.4995,0.0,11091726625.00004,0.0
1,131,279331258.00000024,578444250.0,0.0,606514863072.751,145767182300.9995,0.0,11004228725.00004,0.0
1,132,278818604.1500003,574429350.0,0.0,604803721714.7512,146586099055.49948,0.0,10916208100.000027,0.0
1,133,278281767.60000026,574429350.0,0.0,603092580356.7511,147405015809.99957,0.0,10814080900.000027,0.0
1,134,277744931.0500003,574429350.0,0.0,601381438998.7511,148223932564.4995,0.0,10711953700.000027,0.0
1,135,277208094.50000036,574429350.0,0.0,599670297640.7512,149042849318.99942,0.0,10609826500.000027,0.0
1,136,276671257.9500003,574429350.0,0.0,597959156282.751,149861766073.4995,0.0,10507699300.000027,0.0
1,137,276134421.40000033,574429350.0,0.0,596248014924.7512,150680682827.99948,0.0,10405572100.000027,0.0
1,138,275597584.85000026,574429350.0,0.0,594536873566.7511,151499599582.49945,0.0,10303444900.000027,0.0
1,139,275060748.3000003,574429350.0,0.0,592825732208.7511,152318516336.99948,0.0,10201317700.000027,0.0
1,140,274523911.75000036,574429350.0,0.0,591114590850.7512,153137433091.49948,0.0,10099190500.000029,0.0
1,141,273987075.20000035,574429350.0,0.0,589403449492.7511,153956349845.99948,0.0,9997063300.000027,0.0
1,142,273450238.65000033,574429350.0,0.0,587692308134.7512,154775266600.49948,0.0,9894936100.000029,0.0
1,143,272913402.1000004,574429350.0,0.0,585981166776.7513,155594183354.9994,0.0,9792808900.000027,0.0
1,144,272376565.55000025,574429350.0,0.0,584270025418.7511,156413100109.49948,0.0,9690681700.000029,0.0
1,145,271839729.0000003,574429350.0,0.0,582558884060.7513,157232016863.99942,0.0,9588554500.000029,0.0
1,146,271302892.45000035,574429350.0,0.0,580847742702.7512,158050933618.49942,0.0,9486427300.000029,0.0
1,147,270766055.9000004,574429350.0,0.0,579136601344.7512,158869850372.99942,0.0,9384300100.000029,0.0
1,148,270229219.3500004,574429350.0,0.0,577425459986.7515,159688767127.49942,0.0,9282172900.000029,0.0
1,149,269692382.8000003,574429350.0,0.0,575714318628.7512,160507683881.99948,0.0,9180045700.000029,0.0
1,150,269155546.2500003,574429350.0,0.0,574003177270.7513,161326600636.49942,0.0,9077918500.000029,0.0
1,151,268618709.70000035,574429350.0,0.0,572292035912.7512,162145517390.99936,0.0,8975791300.000029,0.0
1,152,268081873.15000036,574429350.0,0.0,570580894554.7512,162964434145.49942,0.0,8873664100.00003,0.0
1,153,267545036.6000004,574429350.0,0.0,568869753196.7515,163783350899.9994,0.0,8771536900.000029,0.0
1,154,267008200.05000034,574429350.0,0.0,567158611838.7512,164602267654.4994,0.0,8669409700.00003,0.0
1,155,266471363.5000004,574429350.0,0.0,565447470480.7513,165421184408.9994,0.0,8567282500.00003,0.0
1,156,265934526.95000035,574429350.0,0.0,563736329122.7515,166240101163.4994,0.0,8465155300.0000305,0.0
1,157,265375211.40000036,570523350.0,0.0,561899099307.2516,167059017917.99936,0.0,8376140850.000011,0.0
1,158,264813184.45000044,570523350.0,0.0,560046660797.2516,167877934672.4994,0.0,8288708050.0000105,0.0
1,159,264251157.50000045,570523350.0,0.0,558194222287.2516,168696851426.9994,0.0,8201275250.000011,0.0
1,160,263689130.55000037,570523350.0,0.0,556341783777.2516,169515768181.4994,0.0,8113842450.0000105,0.0
1,161,263127103.60000038,570523350.0,0.0,554489345267.2516,170334684935.99936,0.0,8026409650.000011,0.0
1,162,262565076.65000042,570523350.0,0.0,552636906757.2517,171153601690.49933,0.0,7938976850.0000105,0.0
1,163,262003049.70000046,570523350.0,0.0,550784468247.2516,171972518444.9993,0.0,7851544050.0000105,0.0
1,164,261441022.75000045,570523350.0,0.0,548932029737.2517,172791435199.49936,0.0,7764111250.00001,0.0
1,165,260878995.80000046,570523350.0,0.0,547079591227.2516,173610351953.9994,0.0,7676678450.0000105,0.0
1,166,260316968.8500004,570523350.0,0.0,545227152717.2517,174429268708.49936,0.0,7589245650.00001,0.0
1,167,259754941.9000004,570523350.0,0.0,543374714207.2517,175248185462.99927,0.0,7501812850.0000105,0.0
1,168,259192914.95000046,570523350.0,0.0,541522275697.2517,176067102217.4993,0.0,7414380050.00001,0.0
1,169,258630888.0000005,570523350.0,0.0,539669837187.2517,176886018971.99936,0.0,7326947250.00001,0.0
1,170,258068861.05000046,570523350.0,0.0,537817398677.2517,177704935726.49933,0.0,7239514450.000009,0.0
1,171,257506834.1000004,570523350.0,0.0,535964960167.2517,178523852480.99933,0.0,7152081650.00001,0.0
1,172,256944807.15000042,570523350.0,0.0,534112521657.25183,179342769235.49927,0.0,7064648850.0000105,0.0
1,173,256382780.20000046,570523350.0,0.0,532260083147.25183,180161685989.9993,0.0,6977216050.00001,0.0
1,174,255820753.25000048,570523350.0,0.0,530407644637.25183,180980602744.49927,0.0,6889783250.00001,0.0
1,175,255258726.30000046,570523350.0,0.0,528555206127.25183,181799519498.99927,0.0,6802350450.000009,0.0
1,176,254696699.35000047,570523350.0,0.0,526702767617.25183,182618436253.49933,0.0,6714917650.00001,0.0
1,177,254134672.40000042,570523350.0,0.0,524850329107.25183,183437353007.99927,0.0,6627484850.000009,0.0
1,178,253572645.45000046,570523350.0,0.0,522997890597.25195,184256269762.49927,0.0,6540052050.00001,0.0
1,179,252999476.20000046,562934550.0,0.0,521082953069.5017,185075186516.99924,0.0,6459118925.000026,0.0
1,180,252416643.65000048,562934550.0,0.0,519113812481.50183,185894103271.49927,0.0,6383822725.000027,0.0
1,181,251833811.10000044,562934550.0,0.0,517144671893.5017,186713020025.99933,0.0,6308526525.000026,0.0
1,182,251250978.55000046,562934550.0,0.0,515175531305.50183,187531936780.49927,0.0,6233230325.000027,0.0
1,183,250668146.00000042,562934550.0,0.0,513206390717.50183,188350853534.99918,0.0,6157934125.000026,0.0
1,184,250063662.75000048,558961590.0,0.0,511115807744.7517,189169770289.49918,0.0,6095267500.000026,0.0
1,185,249455558.20000052,558961590.0,0.0,509004912296.7519,189988687043.9993,0.0,6034713300.000027,0.0
1,186,248847453.65000045,558961590.0,0.0,506894016848.7519,190807603798.4993,0.0,5974159100.000027,0.0
1,187,248239349.10000047,558961590.0,0.0,504783121400.7518,191626520552.99924,0.0,5913604900.000028,0.0
1,188,247631244.55000043,558961590.0,0.0,502672225952.75195,192445437307.49918,0.0,5853050700.000029,0.0
1,189,247023140.00000048,558961590.0,0.0,500561330504.75195,193264354061.99918,0.0,5792496500.000028,0.0
1,190,246409746.7500006,554832390.0,0.0,498420769857.0022,194083270816.49918,0.0,5735027375.0,0.0
1,191,245758461.7000005,550814790.0,0.0,496067667787.75195,194902187570.9992,0.0,5699661800.000027,0.0
1,192,245099423.15000045,550814790.0,0.0,493671075044.75183,195721104325.49924,0.0,5668819100.000027,0.0
1,193,244430574.90000054,546573990.0,0.0,491219458059.50226,196540021079.99918,0.0,5643698724.999999,0.0
1,194,243745273.1500005,546573990.0,0.0,488675550650.5023,197358937834.49918,0.0,5628176224.999999,0.0
1,195,243059971.40000057,546573990.0,0.0,486131643241.50214,198177854588.9991,0.0,5612653724.999999,0.0
1,196,242374669.6500006,546573990.0,0.0,483587735832.5023,198996771343.4992,0.0,5597131224.999999,0.0
1,197,241689367.90000057,546573990.0,0.0,481043828423.50226,199815688097.99924,0.0,5581608724.999999,0.0
1,198,241004066.15000054,546573990.0,0.0,478499921014.5022,200634604852.49924,0.0,5566086224.999999,0.0
1,199,240318764.40000048,546573990.0,0.0,475956013605.50226,201453521606.9991,0.0,5550563724.999999,0.0
1,200,239633462.65000057,546573990.0,0.0,473412106196.50214,202272438361.4991,0.0,5535041224.999999,0.0
1,201,238948160.90000057,546573990.0,0.0,470868198787.50226,203091355115.9993,0.0,5519518724.999999,0.0
1,202,238262859.1500005,546573990.0,0.0,468324291378.50226,203910271870.49924,0.0,5503996224.999999,0.0
1,203,237551309.50000054,542109990.0,0.0,465633155123.75214,204729188624.99918,0.0,5503784999.999998,0.0
1,204,236874532.9500004,540645240.0,0.0,463067822941.7519,205513663387.49927,0.0,5503784999.999998,0.0
1,205,236232906.60000047,540645240.0,0.0,460515952759.75195,206294511149.99924,0.0,5522130949.999998,0.0
1,206,235591280.25000045,540645240.0,0.0,457964082577.7518,207075358912.49924,0.0,5540476899.999998,0.0
1,207,234998198.1000004,539155380.0,0.0,455474406835.7519,207839449934.99933,0.0,5577168799.999998,0.0
1,208,234426982.95000044,539155380.0,0.0,453064291513.75183,208582105387.4993,0.0,5613860699.999997,0.0
1,209,233855767.80000046,539155380.0,0.0,450654176191.7519,209324760839.99933,0.0,5650552599.999997,0.0
1,210,233284552.6500004,539155380.0,0.0,448244060869.75183,210067416292.49924,0.0,5687244499.999997,0.0
1,211,232729743.3000004,537606930.0,0.0,445893636055.7516,210793989626.99924,0.0,5723936399.999996,0.0
1,212,232222144.10000047,536100330.0,0.0,443714979630.7519,211474284254.99933,0.0,5760628299.999996,0.0
1,213,231729452.2000005,536100330.0,0.0,441590561603.7519,212139965699.99933,0.0,5797320199.999996,0.0
1,214,231259415.4000004,534510030.0,0.0,439548571402.75165,212783439023.99933,0.0,5834012099.999995,0.0
1,215,230807212.60000035,534510030.0,0.0,437571468041.75183,213409430207.99924,0.0,5870703999.999995,0.0
1,216,230355009.80000043,534510030.0,0.0,435594364680.7517,214035421391.99924,0.0,5907395899.999995,0.0
1,217,229902807.00000042,534510030.0,0.0,433617261319.7518,214661412575.99942,0.0,5944087799.999994,0.0
1,218,229450604.2000004,534510030.0,0.0,431640157958.7518,215287403759.99933,0.0,5980779699.999994,0.0
1,219,228998401.40000045,534510030.0,0.0,429663054597.7517,215913394943.9993,0.0,6017471599.999994,0.0
1,220,228546198.60000038,534510030.0,0.0,427685951236.7518,216539386127.99927,0.0,6054163499.999993,0.0
1,221,228093995.8000004,534510030.0,0.0,425708847875.75183,217165377311.99924,0.0,6090855399.999993,0.0
1,222,227670362.55000028,532919730.0,0.0,423835691347.7513,217763362615.49942,0.0,6127547299.999992,0.0
1,223,227257466.70000026,532919730.0,0.0,422001601543.7514,218350822364.99942,0.0,6164239199.999992,0.0
1,224,226862007.10000032,531245730.0,0.0,420230951414.7513,218921189876.9994,0.0,6200931099.999992,0.0
1,225,226490135.00000027,531245730.0,0.0,418546121535.7514,219468435263.99942,0.0,6237622999.999991,0.0
1,226,226118262.9000002,531245730.0,0.0,416861291656.7514,220015680650.99933,0.0,6274314899.999991,0.0
1,227,225746390.80000025,531245730.0,0.0,415176461777.7513,220562926037.9993,0.0,6311006799.999991,0.0
1,228,225374518.70000032,531245730.0,0.0,413491631898.75134,221110171424.99945,0.0,6347698699.99999,0.0
1,229,224993763.00000036,524108130.0,0.0,411806802019.75134,221657416811.99948,0.0,6379208500.00003,0.0
1,230,224547504.4000003,518308830.0,0.0,410121972140.7512,222204662198.99942,0.0,6372508275.000049,0.0
1,231,224082001.10000032,518308830.0,0.0,408437142261.7513,222751907585.99936,0.0,6354581975.00005,0.0
1,232,223606006.20000038,518308830.0,0.0,406752312382.7512,223299152972.99933,0.0,6330535575.00005,0.0
1,233,223130011.30000034,518308830.0,0.0,405067482503.75134,223846398359.99954,0.0,6306489175.00005,0.0
1,234,222654016.40000033,518308830.0,0.0,403382652624.7512,224393643746.99945,0.0,6282442775.000051,0.0
1,235,222178021.50000036,518308830.0,0.0,401697822745.7512,224940889133.99942,0.0,6258396375.000051,0.0
1,236,221702026.60000035,518308830.0,0.0,400012992866.7512,225488134520.99936,0.0,6234349975.000051,0.0
1,237,221226031.70000032,518308830.0,0.0,398328162987.7513,226035379907.99933,0.0,6210303575.0000515,0.0
1,238,220750036.80000034,518308830.0,0.0,396643333108.7513,226582625294.99936,0.0,6186257175.0000515,0.0
1,239,220274041.90000036,518308830.0,0.0,394958503229.7512,227129870681.99948,0.0,6162210775.0000515,0.0
1,240,219798047.00000036,518308830.0,0.0,393273673350.75116,227677116068.99942,0.0,6138164375.000052,0.0
2,1,1864310432.5,790135740.0,3869931849.0000005,84965844399.1875,40203207570.5625,0.0,10946954388.5625,0.0
2,2,1884087725.1499999,790135740.0,3869931849.0000005,138919155592.67157,41007271721.97376,0.0,11056423932.448126,0.0
2,3,1903937751.4750001,790135740.0,3869931849.0000005,192872466786.1556,41409303797.67937,0.0,11275363020.219376,0.0
2,4,1893796812.9749992,790135740.0,3869931849.0000005,246825777979.63962,42213367949.09063,0.0,11494302107.990623,0.0
2,5,1595598023.1000001,748501215.0,3869931849.0000005,354732400366.6078,43017432100.50189,0.0,10197038263.310938,0.0
2,6,209037469.02500004,727032165.0,3231890738.5274997,456316502079.0961,43821496251.91313,0.0,9595221781.554062,0.0
2,7,212675840.47499996,709364490.0,0.0,506951081235.8915,44625560403.32437,0.0,9587501498.7675,0.0
2,8,224027444.12500003,696204540.0,0.0,540658894888.4696,45429624554.735634,0.0,9045693450.399376,0.0
2,9,231551652.57500002,683035740.0,0.0,563655705904.9985,46233688706.14689,0.0,8509703257.440001,0.0
2,10,238111718.02500004,683035740.0,0.0,581270904701.0677,47037752857.55814,0.0,8509703257.440001,0.0
2,11,244813517.875,683035740.0,0.0,598886103497.1372,47841817008.9694,0.0,8588496806.12,0.0
2,12,250095787.92499995,669875790.0,0.0,616501302293.2063,48645881160.38066,0.0,7878139729.411871,0.0
2,13,254049300.375,662510190.0,0.0,628733894199.6672,49449945311.791885,0.0,7501272985.26375,0.0
2,14,285614324.575,565369470.0,9188297943.74625,636846770781.7334,50254009463.20313,0.0,0.0,0.0
2,15,287680656.12499994,565369470.0,8976205625.28375,644619962825.7065,51058073614.61439,0.0,0.0,0.0
2,16,289746987.675,565369470.0,8764113306.82125,652393154869.6797,51862137766.02565,0.0,0.0,0.0
